t,Size,Time
0,1000,0.0032422542572021484
1,1000,0.003884553909301758
2,1000,0.0032072067260742188
3,1000,0.003110170364379883
4,1000,0.0031125545501708984
5,1000,0.0041239261627197266
6,1000,0.0031261444091796875
7,1000,0.0031363964080810547
8,1000,0.003124713897705078
9,1000,0.0041387081146240234
0,5000,0.02007150650024414
1,5000,0.019889116287231445
2,5000,0.019002676010131836
3,5000,0.018908977508544922
4,5000,0.02048468589782715
5,5000,0.01899862289428711
6,5000,0.020048856735229492
7,5000,0.019087791442871094
8,5000,0.019063472747802734
9,5000,0.01900768280029297
0,10000,0.04332304000854492
1,10000,0.04208254814147949
2,10000,0.04335474967956543
3,10000,0.04243588447570801
4,10000,0.04084157943725586
5,10000,0.04122018814086914
6,10000,0.040651798248291016
7,10000,0.040802717208862305
8,10000,0.04083752632141113
9,10000,0.041092634201049805
0,50000,0.23551058769226074
1,50000,0.2393033504486084
2,50000,0.2409348487854004
3,50000,0.24119353294372559
4,50000,0.2421419620513916
5,50000,0.23785901069641113
6,50000,0.2357015609741211
7,50000,0.24245381355285645
8,50000,0.23858857154846191
9,50000,0.23718523979187012
0,100000,0.5022068023681641
1,100000,0.50905442237854
2,100000,0.5027632713317871
3,100000,0.5007979869842529
4,100000,0.5019984245300293
5,100000,0.500211238861084
6,100000,0.4972372055053711
7,100000,0.496628999710083
8,100000,0.5037083625793457
9,100000,0.5066711902618408
0,500000,2.826011896133423
1,500000,2.839397668838501
2,500000,2.8738596439361572
3,500000,2.912712335586548
4,500000,2.8553755283355713
5,500000,2.9024345874786377
6,500000,2.940063714981079
7,500000,2.9133713245391846
8,500000,2.9021592140197754
9,500000,2.9297163486480713
